Date,Amount,Item,Category,Split,Not Me
2025-04-23,12,printout,utility,1,1
2025-04-23,736,groceries,utility,1,0
2025-04-10,46,food,food,2,0
2025-04-11,220,food,food,2,0
2025-04-15,70,food,food,2,0
2025-04-21,20,food,food,2,0
2025-05-08,2000,all,utility,1,0
Refill,0,refill,utility,1,0
2025-05-09,106,milk,utility,1,0
2025-05-10,200,petrol-jupiter,travel,1,0
2025-05-09,50,protein-bar,food,1,0
2025-05-10,46,Ice cream,food,2,0
2025-05-12,126,milk,utility,1,0
2025-05-14,106,milk,utility,1,0
2025-05-14,110,flowers,utility,1,0
2025-05-14,200,Petrol-jupiter,travel,1,0
2025-05-16,106,milk,utility,1,0
2025-05-16,86,groceries,utility,1,0
2025-05-19,90,lunch,food,2,0
2025-05-19,60,lunch,food,2,0
2025-05-20,46,grocery,utility,1,0
2025-05-21,106,milk,utility,1,0
2025-05-21,656,atta,utility,1,0
2025-05-21,200,petrol,travel,1,0
2025-05-22,670,paris-panini,food,2,0
2025-05-23,290,bus,travel,1,0
2025-05-24,124,milk,utility,1,0
2025-05-24,315,petrol,travel,1,0
2025-05-26,150,haircut,utility,1,0
2025-05-26,1100,jeans,utility,1,0
2025-05-28,10,iron,utility,1,0
2025-05-31,1000,rest,utility,1,0
Refill,0,0,utility,1,0
2025-06-02,62,gym-travel,travel,1,0
2025-06-02,63,odomos,utility,1,0
2025-06-02,31,milk,utility,1,0
2025-05-31,180,balance,utility,1,0
2025-06-02,63,odomos,utility,1,0
2025-06-02,31,milk,utility,1,0
2025-06-03,102,auto,travel,3,0
2025-06-03,102,auto-back,travel,3,0
2025-06-04,102,auto-to,travel,3,0
2025-06-04,130,biriyani,food,1,0
2025-06-04,102,auto-from,travel,3,0
2025-06-04,35,milk,food,1,0
2025-06-04,82,gym-travel,travel,1,0
2025-06-05,225,blinkit,utility,1,0
2025-06-05,108,auto-to,travel,3,0
2025-06-05,200,auto-back,travel,4,0
2025-06-05,250,recharge,utility,1,0
2025-06-06,120,auto-to,travel,3,0
2025-06-06,100,biriyani,food,1,0
2025-06-06,46,rapido-back,travel,1,0
2025-06-07,80,gym-travel,travel,1,0
2025-06-07,30,detergent,utility,1,0
2025-06-07,35,milk,utility,1,0
2025-06-07,321,outing,me,1,0
2025-06-07,114,auto to metro,travel,3,0
2025-06-07,192,auto back,travel,3,0
2025-06-08,32,to-gym,travel,1,0
2025-06-08,40,idli,food,1,0
2025-06-08,32,back-to-pg,travel,1,0
2025-06-08,20,milk,food,1,0
2025-06-08,20,sugarcane,food,1,0
2025-06-09,20,milk,food,1,0
2025-06-09,123,to-office,travel,3,0
2025-06-09,110,lunch,food,1,0
2025-06-09,75,ironing,utility,1,0
2025-06-09,111,to-pg,travel,3,0
2025-06-10,20,milk,food,1,0
2025-06-10,120,to-office,travel,3,0
